Date,Close/Last,Volume,Open,High,Low
11/19/2021,6.5573,--,6.4776,6.5868,6.1707
11/18/2021,6.3171,--,6.378,6.3794,6.3169
11/17/2021,6.6968,--,6.7282,6.7316,6.678
11/16/2021,6.6345,--,6.5809,6.6375,6.5595
11/15/2021,6.8672,--,6.9487,6.9573,6.8098
11/12/2021,7.1315,--,7.0948,7.3227,6.9283
11/11/2021,7.2184,--,7.2441,7.2506,7.16
11/10/2021,7.1445,--,7.198,7.2103,7.1397
11/09/2021,7.4286,--,7.4092,7.429,7.3908
11/08/2021,7.4606,--,7.4835,7.4847,7.4586
11/05/2021,6.8884,--,6.9129,6.9648,6.831
11/04/2021,6.8742,--,6.9281,7.0262,6.7671
11/03/2021,7.0317,--,6.9131,7.0825,6.8291
11/02/2021,6.9731,--,6.8946,7.0117,6.6828
11/01/2021,6.7118,--,6.778,6.796,6.6445
10/29/2021,6.8098,--,6.6851,6.8654,6.6209
10/28/2021,6.6204,--,6.619,6.745,6.206
10/27/2021,6.2974,--,6.3411,6.7136,6.231
10/26/2021,6.6062,--,6.7095,6.7768,6.5721
10/25/2021,6.7184,--,6.6949,6.8038,6.6197
10/22/2021,6.4708,--,6.7232,6.7349,6.4169
10/21/2021,6.6371,--,6.8284,6.9942,6.5558
10/20/2021,6.8623,--,6.636,6.9179,6.5288
10/19/2021,6.5759,--,6.4583,6.5815,6.3746
10/18/2021,6.4023,--,6.3284,6.5223,6.2559
10/15/2021,6.4365,--,6.2585,6.5689,6.0784
10/14/2021,6.1531,--,6.1548,6.2058,6.0857
10/13/2021,6.0644,--,5.822,6.0797,5.7645
10/12/2021,5.9303,--,5.8739,6.0051,5.7478
10/11/2021,5.9979,--,5.9976,6.0804,5.8514
10/08/2021,5.8637,--,5.9182,6.0441,5.8232
10/07/2021,5.8741,--,5.8658,5.9466,5.7965
10/06/2021,5.9298,--,5.7111,5.9678,5.5001
10/05/2021,5.6892,--,5.5689,5.7267,5.4562
10/04/2021,5.4427,--,5.3553,5.4722,5.2487
10/01/2021,5.3585,--,5.2258,5.3842,4.8323
09/30/2021,4.8835,--,4.8554,4.9149,4.7207
09/29/2021,4.588,--,4.7063,4.762,4.5566
09/28/2021,4.6366,--,4.6759,4.7775,4.5744
09/27/2021,4.8243,--,4.8908,4.9841,4.7401
09/24/2021,4.8212,--,4.6055,4.8572,4.569
09/23/2021,5.0295,--,4.9033,5.0676,4.8741
09/22/2021,4.8893,--,4.7241,4.9667,4.5246
09/21/2021,4.5683,--,4.7068,4.7154,4.3936
09/20/2021,4.9125,--,4.866,4.9676,4.787
09/17/2021,5.39,--,5.4033,5.547,5.3184
09/16/2021,5.4854,--,5.5858,5.6234,5.4111
09/15/2021,5.5688,--,5.4411,5.5776,5.3595
09/14/2021,5.3632,--,5.311,5.384,5.1867
09/13/2021,5.2151,--,5.1341,5.3862,5.0018
9/10/2021,5.116,--,5.3122,5.4991,5.061
9/09/2021,5.3904,--,5.3748,5.5097,5.2763
9/08/2021,5.4082,--,5.3122,5.4221,5.2382
9/07/2021,5.3749,--,5.906,6.1764,5.0982
9/03/2021,5.8768,--,5.946,6.0032,5.6766
9/02/2021,5.8376,--,5.8413,5.8927,5.7141
9/01/2021,5.7087,--,5.5406,5.7281,5.3624
08/31/2021,5.378,--,5.4851,5.5476,5.378
08/30/2021,5.3918,--,5.3918,5.3918,5.3918
08/27/2021,5.4696,--,0,0,0
08/26/2021,5.4696,--,0,0,0
08/25/2021,5.4696,--,5.3659,5.5171,5.2608
08/24/2021,5.4429,--,5.5742,5.6581,5.3303
08/23/2021,5.6366,--,5.6886,5.7188,5.5401
08/20/2021,5.5204,--,5.336,5.5473,5.2752
08/19/2021,5.2501,--,4.9874,5.2788,4.9391
08/18/2021,5.037,--,5.0426,5.1773,4.9369
08/17/2021,4.983,--,5.2744,5.3195,4.9827
08/16/2021,5.2133,--,5.3414,5.4188,5.1371
08/13/2021,5.2925,--,5.1981,5.3263,4.9512
8/12/2021,4.8835,--,4.979,5.1781,4.8542
8/11/2021,5.0737,--,5.1069,5.2161,5.006
8/10/2021,5.039,--,5.0331,5.08,4.8981
8/09/2021,5.0097,--,5.0017,5.0958,4.6819
8/06/2021,4.6781,--,4.4771,4.738,4.4031
8/05/2021,4.5048,--,4.1593,4.5423,4.126
8/04/2021,4.4026,--,4.2476,4.4028,4.1103
8/03/2021,4.218,--,4.2009,4.2374,4.1277
8/02/2021,4.3264,--,4.3069,4.417,4.2507
07/30/2021,4.4138,--,4.1815,4.4546,4.1389
07/29/2021,4.267,--,4.2511,4.3032,4.2349
07/28/2021,4.2829,--,4.2614,4.3726,4.1642
07/27/2021,4.118,--,4.1461,4.1768,3.9166
07/26/2021,3.983,--,4.1904,4.3672,3.9722
07/23/2021,3.5838,--,3.5499,3.6083,3.493
07/22/2021,3.5138,--,3.5017,3.5667,3.4587
07/21/2021,3.494,--,3.4267,3.5758,3.1912
07/20/2021,3.2181,--,3.2134,3.2546,3.169
07/19/2021,3.3444,--,3.3319,3.4707,3.3098
07/16/2021,3.4646,--,3.4344,3.521,3.3846
07/15/2021,3.486,--,3.4709,3.6395,3.4067
07/14/2021,3.6055,--,3.5339,3.6251,3.4436
07/13/2021,3.565,--,3.5622,3.6611,3.5187
7/12/2021,3.6331,--,3.7049,3.8166,3.5887
7/09/2021,3.7485,--,3.644,3.7601,3.5565
7/08/2021,3.6117,--,3.6307,3.6803,3.5995
7/07/2021,3.832,--,3.8917,3.8995,3.8143
7/06/2021,3.7958,--,3.8461,3.8625,3.7589
7/02/2021,3.7015,--,3.6595,3.7278,3.6468
7/01/2021,3.7122,--,3.7278,3.9065,3.6239
06/30/2021,3.8825,--,3.8881,3.9963,3.7924
06/29/2021,3.9785,--,3.9974,4.0759,3.8123
06/28/2021,3.8282,--,3.8041,3.8927,3.779
06/25/2021,3.5351,--,3.6265,3.9278,3.4744
06/24/2021,3.8331,--,3.7697,3.9026,3.5748
06/23/2021,3.6914,--,3.7636,3.8376,3.6104
06/22/2021,3.5411,--,3.2656,3.6939,3.1681
06/21/2021,3.5371,--,3.5988,4.027,3.4834
06/18/2021,4.0096,--,4.2125,4.3028,3.9626
06/17/2021,4.2577,--,4.3693,4.4537,4.2207
06/16/2021,4.3626,--,4.4049,4.5592,4.3186
06/15/2021,4.5314,--,4.5564,4.6506,4.4626
06/14/2021,4.5318,--,4.4483,4.6208,4.3801
6/11/2021,4.2243,--,4.253,4.2885,4.1568
6/10/2021,4.2176,--,4.3332,4.3957,4.1084
6/09/2021,4.2979,--,4.0756,4.3122,3.8085
6/08/2021,3.9681,--,3.8696,4.0105,3.6382
6/07/2021,4.0388,--,4.3385,4.3548,3.9744
6/04/2021,4.3675,--,4.3226,4.3873,4.2351
6/03/2021,4.579,--,4.5987,4.6227,4.5103
6/02/2021,4.4262,--,4.3985,4.5098,4.197
6/01/2021,4.2475,--,4.2144,4.4121,4.1534
05/28/2021,3.9978,--,4.2954,4.5238,3.9826
05/27/2021,4.5622,--,4.6226,4.6914,4.4198
05/26/2021,4.6001,--,4.6774,4.6823,4.5008
05/25/2021,4.4648,--,4.3696,4.5006,4.358
05/24/2021,4.5006,--,4.4099,4.5679,3.9943
05/21/2021,4.3356,--,4.6628,4.8364,4.1019
05/20/2021,4.684,--,4.8796,4.9553,4.0849
05/19/2021,4.4638,--,3.9283,5.1792,3.5297
05/18/2021,5.2407,--,5.2923,5.52,5.144
05/17/2021,5.2544,--,5.444,5.514,5.035
05/14/2021,5.9528,--,5.9947,6.1296,5.7893
05/13/2021,5.7732,--,5.8526,6.0333,5.4837
5/12/2021,6.1712,--,6.5676,6.7442,6.0676
5/11/2021,6.4884,--,6.2682,6.5352,6.0641
5/10/2021,6.3085,--,6.5773,6.7387,6.0797
5/07/2021,6.2339,--,6.3486,6.4127,6.0638
5/06/2021,6.2516,--,6.2946,6.3651,6.0275
5/05/2021,6.2057,--,5.9866,6.2067,5.7462
5/04/2021,5.712,--,5.9141,5.9636,5.5661
5/03/2021,5.9041,--,5.8503,5.9409,5.6893
04/30/2021,5.4975,--,5.3666,5.5139,5.1999
04/29/2021,5.22,--,5.3432,5.3472,5.1093
